ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/ Conservation Reports on File,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),Latitude,Longitude,Point Data,Coordinate Accuracy,Modified
1989.004.BMP.DeEng,,1989,711 N. Carey Street,,Deborah English,Mural,,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,9,Harlem Park,Sandtown-Winchester/Harlem Pk,39.29702973350038,-76.63862001269445,,,
2010.008.BMP.JoVan,Greenmount West,2010,330 E. Lafayette Avenue,,Josh Van Horne,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,,,Outdoor,mural,,,,,Male,,,,,,,,12,Greenmount West,Midtown,39.310145,-76.611072,,,
2014.005.BMP.StPow,FOREVER TOGETHER / I AM HERE BECAUSE ITS HOME,2014,2400 E. Eager Street,,Stephen Powers,Mural,demolished,,,,"Baltimore Mural Program (BOPA),Love Letter to Baltimore (BOPA)",,,,,Baltimore,MD,21205,,,,Outdoor,mural,,,,,Male,,,,,,,,13,Milton-Montford,Madison/East End,39.301842,-76.583578,,,8/22/2022 1:25pm
2004.014.BMP.ShJam,,2004,837 Washington Boulevard,,Shawn James,Mural,in place,,,,,"Access Art,Tony Shore",,,,Baltimore,MD,21230,,Side of building,,Outdoor,mural,Pigs in the street; buildings,,Excellent condition,,Male,,2005; 1991/1993,view blocked substantially by trees; trash on ground in park area next to mural,,,,,10,Washington Village/Pigtown,Washington Village,39.282807,-76.630037,,,
2010.001.BMP.MaAda,Four Seasons,2010,210 E. 22nd Street,,Marshall Adams,Mural,in place,,,,Baltimore Mural Program (BOPA),"Casey Berry,Adam Laye,Christopher Kindig",,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,Male,,,,,,,,12,Barclay,Greater Charles Vill./Barclay,39.314516,-76.613178,,,
2011.007.BMP.NaKos,[Entrance mosaic],2011,2900 Barclay Street,,Tamara Payne,Mural,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Baltimore Mural Program (BOPA),Natalie Kossack,,,,Baltimore,MD,21218,,,Barclay Elementary/Middle School,Outdoor,mural,,,,,Female,,,,,,,,12,Abell,Greater Charles Vill./Barclay,39.323716,-76.611289,,,5/15/2019 4:32pm
2014.006.BMP.StPow,RIGHT HERE,2014,Westport Light Rail Station,,Stephen Powers,Mural,in place,,,,"Baltimore Mural Program (BOPA),Love Letter to Baltimore (BOPA)",,,,,Baltimore,MD,21230,,,,Outdoor,mural,,,,,Male,,,,,,,,10,Westport,Westport/Mt Winans/Lakeland,39.2617916336572,-76.63230152432,,,
1994.007.BMP.ArVea,,1994,400 N. Pulaski Street,,Archie Veale,Mural,demolished,,,,,,,,,Baltimore,MD,21223,,Side of wall on Pulaski St.,,Outdoor,mural,Boy planting seeds,,,,Male,,2005; 1991/1993,"Graffiti in multiple locations; paint peeling in multiple locations, cracking and fading; ivy overgrown at top; needs immediate attention",,,,,9,Midtown-Edmondson,Greater Rosemont,39.29322467,-76.65025862,,,
543,Freedom Park,,Lloyd and Watson Streets,Intersection,Arthur D. Valk,,,,,,,,,,,Baltimore,MD,21202,,,,,,,,,,Male,,,,,,,,12,Penn-Fallsway,Jonestown/Oldtown,39.297300000000064,-76.60749999999996,,,
1997.004.BMP.LiDeP,,1997,Centre Street,,Linda DePalma,Mural,removed,,,,,"Luis Flores,John Ellsberry",,,,Baltimore,MD,21201,,Side of MD Historical Society,,,mural,"Eight different pieces of artwork, depicting various scenes",,Non-city funded,,Female,,2005; 1991/1993,A few of the murals are falling apart; paint and frames peeling; missing pieces from murals; trees block site of mural,,,,,11,Mount Vernon,Midtown,39.296302,-76.618745,,,8/22/2020 12:57am
2005.013.BMP.PeWar,,2005,4501 Curtis Avenue,,Peggy Ward,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21226,,,,Outdoor,mural,,,,,Female,,,,,,,,10,Curtis Bay Industrial Area,Brooklyn/Curtis Bay/Hawkins Pt,39.2250390050548,-76.5868010773662,,,
1865.001.CHAP.EdDur,Thomas Wildey Monument,1865,201 N. Broadway Avenue,,Edward F. Durang,"Monument,Sculpture",in place,Mayor & City Council,,,,,,,,Baltimore,MD,21231,,Median,,Outdoor,marble,,Thomas Wildey,,H. 52 ft.,Male,,,,checked,,,node/6849064322,12,Dunbar-Broadway,Perkins/Middle East,39.293292176315994,-76.59395183764609,,,4/23/2021 11:34pm
2003.005.BMP.LeFur,[Mosaic],2003,1928 Pennsylvania Avenue,,Leslie Furlong,Mural,in place,,,,Baltimore Mural Program (BOPA),Julie Stovall,,,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,11,Upton,Upton/Druid Hts,39.305672,-76.637501,,,
2008.007.BMP.DaHos,Our Roots Our Garden,2008,525 E. 21st Street,,Danamarie Hosler,Mural,,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,,mural,,,,,Female,,,,,,,,12,East Baltimore Midway,Midway/Coldstream,39.313392,-76.608686,,,
2005.003.BMP.KiJac,,2005,1713 Pennsylvania Avenue,,Kirk Jackson,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,11,Upton,Upton/Druid Hts,39.303927,-76.634970,,,8/19/2019 10:46am
2007.012.BMP.PoMas,,2007,2424 McElderry Street,,Pontella Mason,Mural,in place,,,,,,,,,Baltimore,MD,21205,,on back of church facing Amazing Port Street Garden,,Outdoor,mural,,,,,Male,,2008,,checked,,,,13,McElderry Park,Madison/East End,39.298053,-76.582821,,,8/21/2020 9:12pm
1920.001.CHAP.Unknown,Flagstaff,1920,347 S. Gilmor Street,,Unknown,Monument,in place,,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,,,,Baltimore,MD,21223,,,,,,,,,,,,,,,,,,9,New Southwest/Mount Clare,Southwest Baltimore,39.283379,-76.642221,,,
1988.002.BMP.NeGal,,1988,2330 N. Howard Street,,Neal Gallico,Mural,,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,,mural,,,,,Male,,,,,,,,12,Remington,Medfield/Hampden/Woodberry/Remington,39.315988,-76.619892,,,
2006.011.BMP.AlMar,,2006,1425 Mulberry Street,,Aleksander Martray,Mural,in place,,,,,,,,,Baltimore,MD,21223,,on side of building,,Outdoor,mural,family overlooking a model of city streets,,Good Condition,,Male,,2008,,checked,,,,9,Franklin Square,Southwest Baltimore,39.292978,-76.640709,,,
1998.006.BMP.ChLaw,Soying Seeds of Sandtown,1998,1139 N. Gilmor Street,,Charles Lawrence,Mural,,,,,,,,,,Baltimore,MD,21217,,Side of building with community park,,Outdoor,mural,"Two men, garden, and woman and a girl; houses in background",,Good condition; Non-city funded,,Male,,2005; 1991/1993,garden/ park area needs landscaping,,,,,9,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.302188,-76.642913,,,
1987.008.BMP.ToMil,,1987,600 Cherry Hill Road,,Tom Miller,Mural,in place,,,,Baltimore Mural Program (BOPA),Pam Thompson,,,,Baltimore,MD,21225,,,,Indoor,mural,,,,,Male,,,,,,,,10,Cherry Hill,Cherry Hill,39.2508202,-76.622418,,,
2000.001.BMP.MaCar,,2000,1644 E. Pratt Street,,Mary Carfagno Ferguson,Mural,in place,,,,,,,,,Baltimore,MD,21231,,Side of building,,Outdoor,mural,Building with garden,,Poor condition,,Female,,2005; 1991/1993,"bottom, right hand side of mural chipped, exposing brick; graffiti; overgrown shrubs and grass; lot in front of mural also overgrown; trash, plywood, a discarded toilet, and dumpster in front of mural, needs immediate attention",,,,,12,Washington Hill,Jonestown/Oldtown,39.289387,-76.594244,,,
2009.001.XXX.RoCar,William Donald Schaefer,2009,401 Light Street,Missing,Rodney Carroll,"Monument,Sculpture",in place,,,,,,,11/1/2009,,Baltimore,MD,21202,,Near Baltimore Visitor Center,,Outdoor,bronze,,,Donated by Willard Hackerman,,Male,,,,checked,,,node/2502382373,11,Downtown West,Inner Harbor/Federal Hill,39.28435660,-76.61222347,,,8/31/2019 11:22pm
2006.005.BMP.ShJam,,2006,610 S. Broadway,,Shawn James,Mural,,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21231,,,,Outdoor,mural,,,,,Male,,,,,,,,1,Fells Point,Fells Point,39.2846759,-76.593491,,,
1903.005.CHAP.FWRuc,Confederate Soldiers and Sailors Monument,1903,1403 W. Mount Royal Avenue,,Frederic Wellington Ruckstuhl,"Monument,Sculpture","removed,in storage",,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,,,,Baltimore,MD,21217,,Median strip,,Outdoor,bronze,,,Check if the medium is bronze.,150 x 60 x 63 in.,Male,,,,checked,,,,11,Bolton Hill,Midtown,39.30878758,-76.62246330,,,
2004.005.BMP.ShJam,,2004,W. Hamburg and Bayard Streets,Intersection,Shawn James,Mural,in place,,,,,Mural Masters,,,,Baltimore,MD,21230,,Side of building,,Outdoor,mural,"Gwynns Falls Trail; bicycle riders, roller blader, and walker",,,,Male,,2005; 1991/1993,"""Toys"" and other graffiti on mural",,,,,10,Washington Village/Pigtown,Washington Village,39.277117,-76.633651,,,
1999.012.BMP.ErSha,,1999,2174 Hollins Street,,"""Ernest Shaw, Jr.""",Mural,,,,,,,,,,Baltimore,MD,21223,,Side of abandoned building,,,mural,Four children at a fire hydrant,,Excellent condition,,Male,,,,,,,,9,Boyd-Booth,Southwest Baltimore,39.287067,-76.652241,,,
2008.006.BMP.DaHos,"Past, Present & Future",2008,601 E. 33rd Street,,Danamarie Hosler,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,Female,,,,,,,,14,Better Waverly,The Waverlies,39.328251,-76.607856,,,
1995.004.BMP.PaJac,,1995,2324 McElderry Street,,Patrick Jacobson,Mural,,,,,,,,,,Baltimore,MD,21205,,Side of American Legion N.E. Post #285 Bldg.,,,mural,"Variety of scenes, including parrot",,,,Male,,2005; 1991/1993,Paint peeling in multiple locations; graffiti; black paint marks on far left side,,,,,13,McElderry Park,Madison/East End,39.297926,-76.584332,,,
1990.004.BMP.JoLew,,1990,1327 Greenmount Avenue,,Joseph Lewis,Mural,maybe removed – check,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,,,,mural,,,,,Male,,,,,,,,12,Johnston Square,Midtown,39.30559,-76.608092,,,4/24/2021 12:17am
1993.007.BMP.Wyl,,1993,Russell and Hamburg Streets,Intersection,[First Name Unkown] Wyland,Mural,,,,,,,,,,Baltimore,MD,21230,,Side of building facing Russell St.,,Outdoor,mural,Whales under water,,Non-city funded,,,,2005; 1991/1993,"Good condition; some signs of graffiti, but attempts were made to paint over and conceal",,,,,10,Washington Village/Pigtown,Washington Village,39.280347,-76.623987,,,
2005.005.BMP.LyKis,The Unity Wall,2005,323 E. 20th Street,,Lyle Kissack,Mural,in place,,,,,,,,,Baltimore,MD,21218,,Side of building,,Outdoor,mural,People in community holding hands; cityscape in background,,,,Male,,2005; 1991/1993,"Some overgrown weeds at base of mural, paint and colors still vibrant",,,,node/7472578437,12,Barclay,Greater Charles Vill./Barclay,39.312239,-76.611682,,,7/21/2020 2:43pm
2008.019.BMP.ChLaw,,2008,E. 33rd Street and Greenmount Avenue,Intersection,Charles Lawrence,Mural,,,,,Baltimore Mural Program (BOPA),"""Ernest Shaw, Jr."",""Donald Tyson-Bey, Jr.""",,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,Male,,,,,,,,14,Waverly,The Waverlies,39.328835,-76.609194,,,10/24/2019 9:14pm
1998.010.BMP.ArVea,,1998,900 N. Bond Street,,Archie Veale,Mural,in place,,,,,,,,,Baltimore,MD,21205,,Back side of Church Square Shopping Center and Mack Lewis Gym on Bond St.,,Outdoor,mural,Variety of scenes,,,,Male,,2005; 1991/1993,"Rust in two spots on mural, some graffiti",,,,,12,Gay Street,Perkins/Middle East,39.300899,-76.596448,,,6/11/2019 10:33pm
1990.002.BMP.GeFer,,1990,2310 Harford Road,,George Ferrandi,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,Male,,,,,,,,12,East Baltimore Midway,Clifton-Berea,39.316169,-76.596191,,,
1996.011.BMP.ErWar,,1996,401 E. Lorraine Avenue,,Erik Warren,Mural,,,,,,,,,,Baltimore,MD,21218,,Side of building facing Barclay St.,,Outdoor,mural,Five different figures inside globe,,,,Male,,2005; 1991/1993,Graffiti; overgrown weeds at base of mural,,,,,12,Harwood,Greater Charles Vill./Barclay,39.319960,-76.611005,,,
1918.001.CHAP.JMMil,Confederate Women Monument,1918,W. University Parkway and N. Charles Street,Intersection, Joseph Maxwell Miller,"Monument,Sculpture","removed,in storage",,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,,,,Baltimore,MD,21218,,,,Outdoor,bronze,,,,115 x 114 x 98 in.,Male,,,,checked,,,,14,Johns Hopkins Homewood,Greater Charles Vill./Barclay,39.333225,-76.6192282,,,7/21/2020 2:48pm
1987.004.BMP.JoEll,'Alligators',1987,600 W. 28th Street,,John Ellsberry,Mural,in place,,,,Baltimore Mural Program (BOPA),"Gary Wimmer,Angela Devoti",,,,Baltimore,MD,21211,,,,Outdoor,mural,,,,8'x120' (approximate),Male,,,,,,,,12,Jones Falls Area,Medfield/Hampden/Woodberry/Remington,39.319178,-76.625603,,,8/1/2021 10:58pm
1999.010.BMP.GaMul,[Arena Players],1999,801 McCulloh Street,,Gary Mullen,Mural,in place,,,,,,,,,Baltimore,MD,21201,,West wall of Arena Players' building,,,mural,Artists and musicians,,Average condition,,Male,,2005; 1991/1993,paint peeling in several locations,,,,,11,Seton Hill,Downtown/Seton Hill,39.298928,-76.622805,,,8/1/2021 11:02pm
1994.002.BMP.JoEll,1860s Train/Lincoln Train,1994,910 W. Pratt Street,,John Ellsberry,Mural,in place,,,,Baltimore Mural Program (BOPA),Betsy Greene,,,,Baltimore,MD,21223,,,,Outdoor,mural,,,,,Male,,,,,,,,9,Hollins Market,Poppleton/The Terraces/Hollins Mkt,39.286258,-76.632451,,,
1992.005.BMP.ToMil,"However Far the River Flows, It Never Forgets its Source",1992,1339 E. North Avenue,,Tom Miller,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21213,,,,Outdoor,mural,man reading,,,,Male,,,,,,,,12,Oliver,Greenmount East,39.311724,-76.599602,,,9/10/2019 10:53am
2009.005.BMP.LyKis,,2009,508 Benninghaus Road,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21212,,,,Outdoor,mural,,,,,Male,,,,,,,,4,Mid-Govans,Chinquapin Pk/Belvedere,39.358643,-76.609459,,,5/14/2019 8:59am
1996.002.BMP.MaCar,,1996,1123 W. Mulberry Street,,Mary Carfagno Ferguson,Mural,,,,,Baltimore Mural Program (BOPA),Women's Mural Project,,,,Baltimore,MD,21223,,,,,mural,,,,,Female,,,,,,,,9,Poppleton,Poppleton/The Terraces/Hollins Mkt,39.2931531,-76.6380787,,,
1987.002.BMP.CaBla,,1987,2222 Druid Hill Avenue,,Camillia Blackwell,Mural,removed,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,11,,Upton/Druid Heights,39.309333,-76.637984,,,6/19/2019 12:34pm
2003.002.BMP.EsFra,,2003,1115 Hollins Street,,Espi  Frazier,Mural,in place,,,,,Jennifer Rattigan,,,,Baltimore,MD,21223,,Side of Black Cherry Puppet Theatre,,,mural,Six puppet like figures with buildings and sun,,Good condition,,Female,,,,,,,,9,Hollins Market,Poppleton/The Terraces/Hollins Mkt,39.287295,-76.635794,,,
1999.006.BMP.PaJac,,1999,765 W. Cross Street,,Patrick Jacobson,Mural,,,,,,,,,,Baltimore,MD,21230,,Side of building,,Outdoor,mural,Squid and fish with blue background,,,,Male,,2005; 1991/1993,Mural was spray painted on wall,,,,,10,Washington Village/Pigtown,Washington Village,39.279587,-76.627875,,,
2011.011.BMP.DoTys,,2011,1503 Durham Street,,"""Donald Tyson-Bey, Jr.""",Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21213,,,,Outdoor,mural,,,,,Male,,,,,,,,12,Broadway East,Greenmount East,39.307909,-76.592000,,,
2009.003.BMP.AuDro,Pigtown,2009,759 Washington Boulevard,,Augustina Droze,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21230,,,,Outdoor,mural,,,,,,,,,,,,,10,Washington Village/Pigtown,Washington Village,39.282933,-76.627656,,,
2008.020.BMP.DoTys,"Tribute to Alvin ""Kirby"" Brunson",2008,2043 Pennsylvania Avenue,,"""Donald Tyson-Bey, Jr.""",Mural,in place,,,,,,,,,Baltimore,MD,21217,,side of rowhouse/liquor store,,Outdoor,mural,collage of Penn Ave music culture,"""Alvin """"Kirby"""" Brunson""",Excellent Condition,,Male,,2008,,checked,,,,11,Upton,Upton/Druid Hts,39.306576,-76.638061,,,10/24/2019 9:14pm
2011.009.BMP.MiSan,,2011,1940 Druid Hill Avenue,,Michelle Santos,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,11,Druid Heights,Upton/Druid Hts,39.307259,-76.635382,,,
2003.003.XXX.SpPop,,2003,E. North Avenue and Harford Road,Intersection,Spoon Popkin,Mural,in place,,,,,Dan Van Allen,,,,Baltimore,MD,21213,,Restoration of Tom Miller Murals- Two murals on west and east side of Harford Rd. at North Ave.,,Outdoor,mural,"""Never Forget the Source"" and collage of city life",,,,Female,,2005; 1991/1993,Paint peeling in several locations,,,,,13,Four By Four,Belair-Edison,39.3117462430497,-76.5992755428038,,,10/20/2021 11:16am
1901.001.CHAP.Van,"Maryland Line Monument, Goddess of Liberty",1901,163 W. Mount Royal Avenue,,Van der Bergen,"Monument,Sculpture",in place,,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,Hodges and Leach,,,Baltimore,MD,21217,,Plaza,,Outdoor,bronze,,,,H. 60 ft. 6 in.,,,,,checked,,,node/369907237,11,Mid-Town Belvedere,Midtown,39.30564174048742,-76.61881119826035,,,8/1/2021 10:07pm
1999.007.BMP.ShJam,,1999,1170 Carroll Street,,Shawn James,Mural,,,,,,,,,,Baltimore,MD,21230,,Side of building facing Ostend St.,,Outdoor,mural,Representative images of community and Baltimore,,Good condition,,Male,,2005; 1991/1993,overgrown bushes obstruct majority of mural; on the side of an abandoned building,,,,,10,Washington Village/Pigtown,Washington Village,39.281087,-76.632929,,,
1987.012.BMP.RoWoo,[Baltimore and Ohio 5302],1987,711 Poplar Grove,,Robbie Woodside,Mural,,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21216,,,,Outdoor,mural,,,,,,,,,,,,,9,Mosher,Greater Rosemont,39.296076,-76.664686,,,
1988.001.XXX.LiDeP,Redwood Arch,1988,Redwood Street between Paca and Eutaw Streets,Block,Linda DePalma,Sculpture,in place,Mayor & City Council,City of Baltimore,City of Baltimore - BOPA,,,,,Bromo Arts District,Baltimore,MD,21201,,At the ends of the block,,Outdoor,steel,Steel Archway spanning over redwood street,,,24 x 59 x 7 1/2 ft.,Female,,,,checked,,,node/9358163162,11,Downtown,Downtown/Seton Hill,39.288612,-76.622110,,,12/22/2021 7:56am
1996.003.BMP.MaCar,[The Magic Theatre],1996,115 W. Mulberry Street,Block,Mary Carfagno Ferguson,Mural,in place,,,,Baltimore Mural Program (BOPA),Women's Mural Project,,,,Baltimore,MD,21201,,,,Outdoor,mural,,,,,Female,,,,,,,node/7823658439,11,Downtown,Downtown/Seton Hill,39.294185,-76.619096,,,8/21/2020 8:37pm
1990.005.BMP.PoMas,Wall of Pride,1990,1611 Carey Street,,Pontella Mason,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,7,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.308130,-76.641427,,,
2011.005.BMP.ChLaw,[Hampden],2011,3424 Elm Avenue,,Charles Lawrence,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21211,,,,Outdoor,mural,,,,,Male,,,,,,,,14,Hampden,Medfield/Hampden/Woodberry/Remington,39.329333, -76.631340,,,8/22/2022 7:47pm
1990.010.BMP.JaVos,,1990,2229 1/2 W. Pratt Street,,James Voshell,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21223,,,,Outdoor,mural,,,,,Male,,,,,,,,9,Carrollton Ridge,Southwest Baltimore,39.284752,-76.652385,,,
2001.001.BMP.LyKis,,2001,1904 McCulloh Street,,Lyle Kissack,Mural,in place,,,,,,,,,Baltimore,MD,21217,,Side of building,,Outdoor,mural,People in community,,Excellent condition; mural enclosed by a fence in a park area,,Male,,,,,,,,11,Druid Heights,Upton/Druid Hts,39.307274,-76.633923,,,
1998.007.XXX.JoMar,José Martí Monument,1998,N. Broadway and E. Fayette Street,Intersection,Lilian Jilma Valiente Wood,"Monument,Sculpture",in place,,Baltimore City Department of Transportation,Commission for Historical and Architectural Preservation (CHAP),,,,,,Baltimore,MD,21231,,,,Outdoor,bronze,The bust is a replica of a Marti monument in the Sierra Maestra mountains of Cuba. The bust and base are 6 1/2 fet tall.. Possibly knocked down due to construction.,José Martí,,,,,,,,,,node/5579499294,1,Upper Fells Point,Fells Point, 39.294145,-76.594007,,,4/23/2021 11:35pm
1945.006.CHAP.Unknown,Veterans of Foreign Wars Monument,1945,Ponca Street and Eastern Avenue,Intersection,Unknown,Memorial,,,,,,,,,,Baltimore,MD,21224,,,,Outdoor,,,,,,,,,,,,,,1,Hopkins Bayview,Orangeville/E. Highlandtown,39.287383,-76.552649,,,
2006.015.BMP.JeRat,Hampden's Congressional Medal of Honor Winners,2006,929 W. 36th Street,,Jennifer Rattigan,Mural,in place,,,,,Robert Hieronimus,,,,Baltimore,MD,21211,,"On front side of building, 3rd floor",,Outdoor,mural,painted American flag commemorating Hampden,,Excellent Condition,,Female,,2008,,checked,,,,14,Hampden,Medfield/Hampden/Woodberry/Remington,39.330965,-76.632410,,,12/21/2021 11:08pm
2010.003.BMP.AuDro,,2010,1818 W. Fayette Street,,Augustina Droze,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21223,,,,Outdoor,mural,,,,,,,,,,,,,9,Franklin Square,Southwest Baltimore,39.289646,-76.645969,,,
1954.001.CHAP.LPCoo,Memorial Stadium (Facade and urn),1954,E. 33rd Street,,L.P. Cook and Company,Monument,,,,,,,,,,Baltimore,MD,21218,,,,Outdoor,,,,,,,,,,,,,,14,Ednor Gardens-Lakeside,The Waverlies,39.328618,-76.601477,,,
